日期,累积收益率
2010-09-13,"['000049' '000703' '002190' '600406' '002035' '002236' '000559' '002304'
 '000848' '002081']"
2010-09-14,"['000049' '002190' '002035' '000703' '600406' '002236' '000559' '002304'
 '000848' '002081']"
2010-09-15,"['000049' '002190' '002035' '600406' '000703' '002236' '002304' '000848'
 '000559' '002081']"
2010-09-16,"['000049' '600406' '002190' '000703' '002035' '002236' '002304' '000848'
 '000559' '002081']"
2010-09-17,"['000049' '600406' '000703' '002190' '002236' '002035' '000848' '002304'
 '000559' '002081']"
2010-09-21,"['000049' '000703' '600406' '002304' '002190' '002035' '002236' '000848'
 '002081' '000559']"
2010-09-27,"['000703' '600406' '002304' '002035' '000848' '002236' '002081' '000559'
 '002099' '600259']"
2010-09-28,"['000049' '000703' '600406' '002190' '002304' '000848' '002035' '002236'
 '002081' '000559']"
2010-09-29,"['000049' '000703' '002190' '600406' '000848' '002304' '002236' '002081'
 '600259' '002035']"
2010-09-30,"['000049' '000703' '600406' '000848' '002190' '002304' '002236' '600259'
 '002081' '002035']"
2010-10-08,"['000049' '000703' '002190' '000848' '600406' '002304' '600259' '002236'
 '002035' '002081']"
2010-10-11,"['000049' '000703' '002190' '600406' '600259' '002304' '000848' '002035'
 '002081' '000559']"
2010-10-12,"['000703' '000049' '600259' '002190' '600406' '002035' '000848' '002304'
 '002081' '000559']"
2010-10-13,"['000049' '600259' '000703' '002190' '002035' '600406' '000848' '002304'
 '000559' '002236']"
2010-10-14,"['600259' '000703' '000049' '002190' '002035' '600406' '002304' '000848'
 '600111' '002081']"
2010-10-15,"['600259' '000049' '000703' '002190' '002304' '002035' '600406' '600111'
 '000848' '002236']"
2010-10-18,"['600259' '000703' '000049' '002190' '002304' '000848' '600406' '002035'
 '600111' '002236']"
2010-10-19,"['000049' '000703' '600406' '002190' '002304' '002035' '000848' '600111'
 '002236' '000559']"
2010-10-20,"['000703' '000049' '002190' '600406' '002304' '002035' '000848' '002236'
 '600111' '000559']"
2010-10-21,"['000703' '000049' '002190' '600406' '002035' '002304' '000848' '600111'
 '002081' '002236']"
2010-10-22,"['600259' '000703' '000049' '002190' '002304' '600406' '002081' '002035'
 '600111' '000848']"
2010-10-25,"['600259' '000049' '000703' '002081' '002304' '002035' '002190' '600406'
 '002236' '600111']"
2010-10-26,"['000049' '600259' '000703' '002190' '002081' '002035' '600406' '002304'
 '600111' '002236']"
2010-10-27,"['600259' '000049' '000703' '002190' '002081' '002304' '002035' '600406'
 '600111' '002236']"
2010-10-28,"['600259' '000049' '000703' '002190' '002081' '002035' '002236' '600406'
 '002304' '600111']"
2010-10-29,"['600259' '000049' '000703' '002190' '002081' '002236' '002035' '002304'
 '600406' '600111']"
2010-11-01,"['600259' '000703' '000049' '002190' '002081' '002035' '002236' '002304'
 '600406' '000559']"
2010-11-02,"['600259' '000049' '000703' '002035' '002190' '002081' '002304' '002236'
 '600406' '600132']"
2010-11-03,"['000703' '600259' '000049' '002035' '002304' '002081' '002190' '002236'
 '002013' '600406']"
2010-11-04,"['002035' '000703' '600259' '000049' '002304' '002081' '002013' '002190'
 '002236' '000559']"
2010-11-05,"['002035' '000049' '000703' '600259' '002081' '002304' '002190' '002013'
 '002236' '600406']"
2010-11-08,"['002035' '000703' '000049' '600259' '002304' '002081' '600406' '002190'
 '002013' '002236']"
2010-11-09,"['002035' '000703' '000049' '600259' '002304' '002081' '600406' '002013'
 '002190' '000559']"
2010-11-10,"['002035' '000703' '600259' '000049' '002304' '002081' '600406' '002236'
 '002190' '002013']"
2010-11-11,"['002035' '000703' '000049' '600259' '002304' '002081' '600406' '002236'
 '002190' '002013']"
2010-11-12,"['002035' '000703' '002304' '600259' '000049' '002236' '002081' '600406'
 '000970' '600132']"
2010-11-15,"['002035' '600259' '002304' '000703' '002236' '600406' '002081' '600132'
 '000970' '002013']"
2010-11-16,"['002035' '002304' '600259' '000703' '002236' '002081' '600406' '000049'
 '600132' '002190']"
2010-11-17,"['002035' '600259' '002304' '000703' '002236' '600406' '000049' '002081'
 '600132' '002013']"
2010-11-18,"['002035' '000703' '600259' '002236' '000049' '002081' '600406' '002013'
 '002190' '600132']"
2010-11-19,"['002035' '002304' '000703' '002236' '002081' '600259' '000049' '600406'
 '002013' '002106']"
2010-11-22,"['002035' '002304' '000703' '600259' '000049' '002236' '600406' '000581'
 '000559' '002013']"
2010-11-23,"['002035' '002304' '002081' '000703' '002236' '600259' '000049' '000581'
 '000559' '000848']"
2010-11-24,"['002035' '002081' '002304' '000703' '600406' '000581' '002236' '600259'
 '000049' '000559']"
2010-11-25,"['002035' '002081' '002304' '000703' '600406' '000581' '600259' '002236'
 '000049' '000559']"
2010-11-26,"['002035' '002304' '002081' '000703' '600406' '000581' '600259' '000049'
 '002236' '000790']"
2010-11-29,"['002304' '600406' '002081' '000703' '000049' '000581' '002236' '600259'
 '000559' '600132']"
2010-11-30,"['002035' '600406' '002081' '002304' '000703' '002236' '000581' '000049'
 '600259' '600132']"
2010-12-01,"['002035' '600406' '002304' '002081' '000703' '002236' '000049' '000581'
 '600259' '600132']"
2010-12-02,"['002035' '600406' '002304' '002081' '000703' '002236' '600259' '000049'
 '000581' '600132']"
2010-12-03,"['002035' '000703' '600406' '002304' '002081' '002236' '600259' '000049'
 '000581' '000970']"
2010-12-06,"['002035' '000703' '600406' '002081' '002304' '600259' '002236' '000049'
 '000581' '000970']"
2010-12-07,"['002035' '000703' '002081' '600406' '002304' '600259' '002236' '000049'
 '000581' '000970']"
2010-12-08,"['002035' '000703' '600406' '002081' '002304' '600259' '002236' '000581'
 '000049' '000970']"
2010-12-09,"['002035' '000703' '600406' '002081' '002304' '002236' '600259' '000581'
 '002106' '000049']"
2010-12-10,"['002035' '000703' '002081' '600406' '002304' '600259' '002236' '000581'
 '000049' '002106']"
2010-12-13,"['002035' '000703' '002081' '600406' '002304' '600259' '002236' '000581'
 '000049' '002106']"
2010-12-14,"['002035' '002081' '000703' '600406' '002304' '000789' '600259' '002236'
 '000581' '000049']"
2010-12-15,"['002035' '000703' '002081' '600406' '002304' '002236' '600259' '000049'
 '000581' '600252']"
2010-12-16,"['002035' '000703' '002081' '600406' '002304' '000789' '002236' '600259'
 '000049' '000581']"
2010-12-17,"['002035' '000703' '002081' '600406' '000789' '600259' '002236' '002304'
 '000049' '000581']"
2010-12-20,"['002035' '000703' '002081' '600406' '000789' '600259' '002236' '000049'
 '002304' '000581']"
2010-12-21,"['002035' '000703' '600406' '000789' '600259' '000049' '002236' '002304'
 '000581' '002013']"
2010-12-22,"['002035' '000703' '600406' '000789' '600259' '002236' '000049' '002304'
 '000581' '002106']"
2010-12-23,"['002035' '000703' '600406' '600259' '000789' '002236' '000049' '002304'
 '000581' '002106']"
2010-12-24,"['002035' '000703' '002081' '600406' '600259' '000789' '002236' '000049'
 '002304' '002106']"
2010-12-27,"['002035' '000703' '002081' '600406' '600259' '002304' '000789' '000049'
 '000581' '002236']"
2010-12-28,"['002035' '002081' '600406' '002304' '600259' '000789' '000581' '002236'
 '000049' '600252']"
2010-12-29,"['002035' '002081' '600406' '002304' '000789' '600259' '000581' '002236'
 '000049' '002106']"
2010-12-30,"['002035' '002081' '600406' '002304' '000789' '002236' '600259' '000581'
 '002106' '000049']"
2010-12-31,"['002035' '000703' '002081' '600406' '002304' '000789' '600259' '002236'
 '000581' '000049']"
2011-01-04,"['002035' '000703' '002081' '600406' '000789' '600259' '002236' '000581'
 '000049' '002106']"
2011-01-05,"['002035' '000703' '002081' '600406' '000789' '000581' '002304' '600259'
 '000049' '002236']"
2011-01-06,"['002035' '000703' '002081' '600406' '000581' '002304' '600259' '000049'
 '002236' '002013']"
2011-01-07,"['002035' '000703' '002081' '600406' '002304' '000581' '000789' '600259'
 '000049' '002236']"
